Average,STD
2651.4685515484525,2496.8550551308263
1749.381991291177,1640.8214969928292
786.8058917757261,757.6365589885269
601.2938302622591,740.7019492533545
593.9318797463127,849.8358178524883
423.35914033578405,729.3017120157245
266.1727161497743,365.05855328368176
181.7885268622479,248.99544735246536
157.83438279747114,246.08688550864454
393.94556828030346,692.1161897171049
154.35547072820253,320.7147246816055
195.89343070146475,316.3938459304454
115.42530152594931,207.97415798799108
93.03976169741257,92.21038911807508
185.82664574266977,429.9063293169862
174.8724570238572,352.7153999830257
154.31435415653215,353.0505993369686
100.41174606662824,116.86175269124284
117.40072669368887,169.9087570776096
65.73751690587999,33.90953287289572
103.96384866298827,90.29261605973475
61.63051191941138,36.183641459660535
82.46623369689357,68.84806590653439
144.726685039869,193.48102068880758
63.77424506160639,51.05174913663868
97.39387073622909,158.83753802131235
65.77917700581092,38.63679290322149
95.12630921100478,137.42761855245226
77.92052647485352,83.5292457743232
106.80609229765064,154.4088431192071
74.12783413162897,44.20023277310736
66.71710077892315,67.05060587577786
67.59818284711228,53.688778768577166
66.17629958983173,38.718290781800846
65.45582064106132,46.85316720218446
75.80018756425525,66.89160172174572
99.02984803555512,117.60018583841394
74.17642505054951,47.78153044894482
119.671253010477,170.06064875495042
58.70087650367913,37.4753056342399
80.13898356030155,78.01578744100695
59.898161578354895,30.980952426031187
59.238272947756464,30.669810544460578
85.82168461154833,79.78918578961256
54.013061419000884,26.40211942541297
63.84198943963805,45.368857810022824
71.3712811611118,78.80035792037108
59.25858927689968,36.29262344496677
67.85025606558138,48.83039623854087
45.721183893600355,17.747243044125575
54.61120010316031,32.69638642447389
67.17792268016534,60.42895560129677
74.16387217686542,78.60586686173261
71.90795036632805,102.67268129952355
58.58259060260798,41.50239476897426
100.50124620442959,168.28322574733303
76.82984801130544,104.77550374976668
64.06749901245601,68.57054753719659
68.76674029097248,69.1385987028015
88.46392875847455,144.82156963835288
66.77929970600407,69.31046215847589
66.29550607582743,90.15275634701132
73.66143901895319,91.38691643299352
70.08367863361467,91.04327098017593
62.88815759036693,59.34673002684654
61.408661267000696,44.15291917405267
47.0012304694511,22.12592972925849
60.535264100069845,60.50125352424657
65.59558282369714,71.09091886906141
50.60814292500125,39.09322407302955
44.09737648081049,19.374163575124378
50.366054434790286,30.344331717239466
64.12963997697263,66.99239461461751
50.62945943294556,38.67554394183229
46.04159118948159,28.212443762122994
47.284489492806394,27.380426007737906
53.444785418259144,51.65078967080678
52.24343840756209,33.99370450849229
45.07655663888762,21.148464866098497
44.978981654520325,25.964681330779147
44.034364145511745,23.6787701152119
58.33866797978755,61.81241139257431
53.55054363374469,36.68506107218926
42.824921145797234,19.574254026988275
41.431691488781716,16.622026357353434
45.26853120481967,22.953328975393987
51.51721533012623,33.97011995107874
48.390512385006154,37.90381456294307
40.12400000874818,12.19804233460744
39.72756967929628,13.158239404928752
47.40614562707414,33.21985763452402
55.37557820973752,56.318099195601896
47.39009218589998,28.219134925082002
42.61368993619009,17.964198023889693
47.96848297654136,37.14097245026588
57.99853326990922,74.3915254950384
70.01908273647028,98.23788125413519
49.869703486886245,53.19789203154105
65.53695941102819,86.75972266077937
58.80175769229868,88.78849892677388
