Particle_1,Particle_2,Particle_3,Particle_4,Particle_5,Particle_6,Particle_7,Particle_8,Particle_9,Particle_10,Particle_11,Particle_12,Particle_13,Particle_14
2.571528,1.2484632848191293,2.571528,2.565151922593466,2.571528,2.571528,2.571528,2.0081684973589096,0.0604137577004415,2.571528,2.571528,2.260062357597114,2.257928075872412,2.571528
2.571528,2.4395258330905896,2.571528,2.571528,2.571528,2.128981319191801,2.571528,2.571528,2.571528,2.571528,2.571528,2.200062734731857,0.8280557881537542,1.692569786623662
1.6476185324087842,2.571528,2.571528,2.571528,2.571528,2.571528,2.543246659177297,2.571528,2.571528,2.571528,2.571528,0.6723659671285216,2.571528,2.571528
2.571528,2.571528,2.571528,2.571528,1.6013206946805765,2.571528,2.571528,1.4621035339673285,2.571528,2.571528,0.538217020830829,2.571528,2.571528,0.535126057734828
2.571528,2.571528,2.571528,2.571528,2.571528,2.571528,1.9726433255282032,2.571528,2.344655689686822,2.571528,2.571528,1.039149330074321,2.571528,2.571528
2.571528,2.571528,2.571528,2.571528,2.571528,2.571528,2.571528,2.571528,2.571528,2.57152799967774,2.571528,0.586855706687168,2.571528,2.571528
2.571528,2.571528,2.571528,2.571528,2.571528,0.6016352206812523,0.0534553114207594,2.571528,2.571528,1.4024183235981695,0.4887211498734558,2.571528,2.571528,1.2949445645555506
1.4257668985530578,2.571528,2.571528,2.571528,2.571528,2.411381291442998,2.571528,2.571528,2.571528,2.571528,2.571528,2.571528,2.571528,2.571528
2.571528,2.571528,2.4917261482129542,2.571528,2.571528,2.571528,2.571528,1.8669515916946469,2.571528,2.571528,2.571528,2.5715279948404266,2.571528,2.571528
1.981394368005791,2.571528,2.274745501262021,2.571528,0.8794374135055645,1.0300061289323772,2.571528,2.1972194400462577,2.571528,2.571528,2.571528,1.7654257605939427,2.571528,2.571528
1.9051641303468836,2.571528,0.8514033450682972,2.571528,0.7080065764017063,1.091526059417088,2.571528,0.4368419055712893,0.5754270057205262,2.571528,2.3804000773571645,0.3378640899996852,1.544506113178474,0.1365201732084862
2.571528,0.8686600724292046,2.571528,2.499894471845944,0.8231964783801164,0.985872103525682,2.571528,2.571528,1.7155296830505389,2.571528,2.571528,2.571528,1.4013609954486503,2.234155106197222
2.571528,2.571528,2.571528,2.571528,1.4191629793163305,2.571528,1.5089889623646613,1.6687599889777078,2.3135036845436763,2.571528,2.571528,1.4389612783383094,1.8970276164550637,2.571528
2.571528,1.497022892284377,2.571528,2.571528,2.571528,2.571528,2.571528,2.571528,2.571528,2.571528,0.3849013283652738,2.571528,2.571528,2.571528
2.571528,2.1806186379051318,2.571528,2.571528,1.169363017090087,1.7405125606651533,2.571528,2.571528,2.571528,2.571528,0.6279410002189993,0.6809366144430435,2.571528,0.404966175657294
1.4864949699010443,2.571528,0.9239451468868928,2.571528,1.5930742610304918,1.741695562146356,2.571528,2.3590937806409267,2.571528,2.571528,2.571528,1.6809950140950394,2.571528,2.571528
2.571528,1.0721610572813902,0.9710938054182858,2.571528,2.571528,2.571528,0.1181107830601182,2.2165884158195945,2.571528,1.896129198360458,1.3810363234163423,2.571528,2.571528,2.571528
2.571528,2.571528,2.571528,1.1246779228862105,2.220070695547628,2.571528,2.571528,1.8210343001225495,2.139099660816105,1.2484081748558007,2.571528,2.571528,2.571528,2.571528
2.571528,0.915126184949978,2.571528,0.9639988077664116,2.571528,2.571528,2.571528,2.571528,1.3747338169179462,2.571528,2.571528,1.965786167452636,2.0075319525041087,2.571528
2.571528,0.6292838580728652,2.571528,0.5590276034210313,2.571528,2.571528,0.0795718002438614,2.571528,2.571528,0.6767574394333316,1.0386579909763485,2.571528,2.321092311401342,2.571528
2.571528,0.3384862512054187,2.571528,0.7997283919181557,1.32378647051478,2.095316027494088,0.5777393352251217,2.571528,2.571528,2.571528,2.571528,2.571528,1.717911195237289,2.571528
2.571528,2.571528,1.7270593345651737,2.571528,2.571528,2.571528,2.571528,2.571528,1.2896974530448015,2.571528,2.571528,1.5678444141582784,2.571528,1.5756082902576294
2.571528,1.290752865764081,2.571528,0.2582384211003421,0.9642019743527128,2.571528,2.571528,2.28518627661794,2.571528,2.571528,0.8918704497328509,2.571528,2.571528,0.6974589286817463
2.571528,1.0899447772946795,0.5357203123674288,2.571528,2.571528,2.571528,0.2198994922347359,2.571528,2.571528,2.571528,2.571528,0.0486963976284906,2.571528,2.571528
2.571528,2.571528,1.0196017110853155,2.571528,2.571528,0.6602076889725264,2.571528,2.571528,2.218399903644884,2.571528,2.571528,2.571528,1.8774008895098016,2.571528
