Average,STD
4.071428571428571,2.017778127403648
4.357142857142857,1.9057460827371866
3.5714285714285716,2.31098665955893
2.7857142857142856,2.044827298653527
4.714285714285714,2.5246042013801637
4.857142857142857,1.7478401113789142
4.428571428571429,1.6508406117111143
4.357142857142857,0.928782731664065
4.214285714285714,2.577374078952674
4.0,1.8810798862519205
3.142857142857143,1.9158104473902609
3.2142857142857144,1.9286731759891873
3.857142857142857,1.8337495365063798
3.5,1.4005493427717788
3.142857142857143,1.7032612545052805
3.2857142857142856,1.8575654633281304
2.9285714285714284,0.9972489631508747
2.357142857142857,1.0082080720186268
3.5,1.286019499792345
3.7142857142857144,1.2666473875533018
3.2142857142857144,1.1883130530663677
3.642857142857143,1.3926810257774174
3.857142857142857,1.5619092289760117
3.0714285714285716,1.3280573269766118
3.5,1.3445044840729643
3.7142857142857144,1.2043875831929896
3.2857142857142856,0.726273039202563
3.142857142857143,0.9492622930986468
3.857142857142857,1.2314558524297639
3.5714285714285716,1.3424596091494905
3.142857142857143,1.0994504121565505
4.071428571428571,1.6391501416322993
3.857142857142857,1.3506205330054124
3.2857142857142856,1.3827826698682306
3.4285714285714284,1.0163498575623615
3.7857142857142856,1.1883130530663677
3.4285714285714284,1.2224996910042534
3.9285714285714284,1.2066664642907567
3.7857142857142856,2.0448272986535274
3.357142857142857,1.27744594087896
3.642857142857143,1.549547966698321
3.857142857142857,1.5619092289760117
3.642857142857143,1.3926810257774171
2.642857142857143,0.49724515809884684
3.142857142857143,1.0271051820261912
3.5714285714285716,0.9376144618769909
2.9285714285714284,1.1411388181101378
2.9285714285714284,1.4392458342578487
3.357142857142857,0.633323693776651
4.0,1.7097008285302207
3.5714285714285716,1.0894095588038444
3.5,1.0919284281983377
3.5714285714285716,1.0894095588038444
4.071428571428571,2.26899793925681
3.357142857142857,0.8418973861410953
3.5,1.224744871391589
3.5714285714285716,1.2224996910042532
4.0,1.6172150801252798
3.7857142857142856,2.0068563793835694
3.5,1.5566235649883124
3.7142857142857144,1.1387288073563855
3.0,1.1094003924504583
3.357142857142857,0.9287827316640649
3.5714285714285716,1.2224996910042532
3.2857142857142856,1.3259870882635916
3.7142857142857144,1.5406577730392865
2.9285714285714284,1.0716117059605352
4.071428571428571,1.730463953541216
3.0714285714285716,1.4392458342578487
3.4285714285714284,1.785164750607962
3.7857142857142856,2.1187286256174924
3.142857142857143,1.0994504121565507
3.5,1.3445044840729643
3.7857142857142856,1.3114039117603011
3.5714285714285716,1.2838814775327387
