Particle_1,Particle_2,Particle_3,Particle_4,Particle_5,Particle_6,Particle_7,Particle_8,Particle_9,Particle_10,Particle_11,Particle_12,Particle_13,Particle_14,Average,STD
2.658259676429299e-05,2.023007782371251e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.167374200015862e-05,2.223123955208825e-05,1.7710229834980656e-05,2.7229116465169445e-05,1.7184621467609006e-05,2.5638082502243363e-05,2.1350876581701964e-05,2.208450209288507e-05,4.260130119619088e-06
2.658259676429299e-05,2.023007782371251e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.167374200015862e-05,2.223123955208825e-05,1.7710229834980656e-05,2.6701911590080796e-05,1.7184621467609006e-05,2.5638082502243363e-05,2.1350876581701964e-05,2.2046844601807308e-05,4.216595453999071e-06
2.658259676429299e-05,2.023007782371251e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.167374200015862e-05,1.48247320705181e-05,1.7710229834980656e-05,2.6701911590080796e-05,1.7184621467609006e-05,2.5638082502243363e-05,2.1350876581701964e-05,2.1517808353123727e-05,4.606843342096141e-06
2.658259676429299e-05,2.023007782371251e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.167374200015862e-05,1.48247320705181e-05,1.7710229834980656e-05,2.6701911590080796e-05,1.7184621467609006e-05,2.423502828807332e-05,2.1350876581701964e-05,2.1417590194968725e-05,4.530752789094811e-06
2.658259676429299e-05,2.023007782371251e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.423502828807332e-05,2.1350876581701964e-05,2.0523407890984192e-05,4.5868793546135995e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.423502828807332e-05,2.1350876581701964e-05,2.0232513375936274e-05,4.314434799775653e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.423502828807332e-05,2.1350876581701964e-05,2.0232513375936274e-05,4.314434799775653e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.7760718003327832e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.423502828807332e-05,2.1350876581701964e-05,2.0232513375936274e-05,4.314434799775653e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.423502828807332e-05,2.1350876581701964e-05,1.968914509518468e-05,3.7777520539735726e-06
2.251007355362212e-05,2.023007782371251e-05,2.1449202573830764e-05,2.0153562072805517e-05,1.9025397115436524e-05,2.765805397236632e-05,1.3459074643472751e-05,2.1245259871466008e-05,1.48247320705181e-05,1.7710229834980656e-05,1.4611841462989956e-05,1.7184621467609006e-05,2.423502828807332e-05,2.079424408990571e-05,1.9649385631484947e-05,3.7629539022243876e-06
